# Logfile created on 2014-01-25 12:02:26 +0100 by logger.rb/44203
I, [2014-01-25T12:02:26.229724 #4310]  INFO -- : Connected guest42 at 192.168.172.49:4242
I, [2014-01-25T12:02:26.274879 #4310]  INFO -- : Connected Jim Java at 192.168.172.116:9900
I, [2014-01-25T12:02:31.665008 #4310]  INFO -- : Connected Korda György at http://192.168.172.142:8080/php/player_service.php
I, [2014-01-25T12:02:48.621876 #4310]  INFO -- : guest42 has 1000 chips
I, [2014-01-25T12:02:48.622184 #4310]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T12:02:48.622406 #4310]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T12:02:48.766037 #4310]  INFO -- : Jim Java got hole card King of Spades (13, Spades)
I, [2014-01-25T12:02:53.906639 #4310]  INFO -- : Korda György got hole card 9 of Diamonds (9, Diamonds)
I, [2014-01-25T12:02:53.921197 #4310]  INFO -- : guest42 got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T12:02:54.249984 #4310]  INFO -- : Jim Java got hole card 2 of Clubs (2, Clubs)
I, [2014-01-25T12:03:00.332219 #4310]  INFO -- : Korda György got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T12:03:00.339692 #4310]  INFO -- : guest42 got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T12:03:05.523895 #4310]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T12:03:10.644621 #4310]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T12:03:15.778541 #4310]  INFO -- : guest42 made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T12:03:21.589268 #4310]  INFO -- : Jim Java made a bet of 10 (call) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T12:03:31.778088 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T12:03:36.884514 #4310]  INFO -- : community card 4 of Clubs
I, [2014-01-25T12:03:42.004030 #4310]  INFO -- : community card Queen of Diamonds
I, [2014-01-25T12:03:47.140348 #4310]  INFO -- : community card Ace of Hearts
I, [2014-01-25T12:03:52.367439 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T12:04:02.639888 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T12:04:07.740280 #4310]  INFO -- : community card 6 of Diamonds
I, [2014-01-25T12:04:12.852737 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T12:04:23.339825 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T12:04:28.938017 #4310]  INFO -- : community card 10 of Diamonds
I, [2014-01-25T12:04:34.100052 #4310]  INFO -- : Jim Java made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T12:04:45.244607 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T12:04:50.901159 #4310]  INFO -- : Jim Java showed 2 of Clubs,4 of Clubs,6 of Diamonds,10 of Diamonds,Queen of Diamonds,King of Spades,Ace of Hearts making a high card
I, [2014-01-25T12:04:56.146461 #4310]  INFO -- : Korda György showed 4 of Clubs,6 of Diamonds,9 of Diamonds,10 of Diamonds,Jack of Diamonds,Queen of Diamonds,Ace of Hearts making a flush
I, [2014-01-25T12:05:01.301594 #4310]  INFO -- : Korda György won 40
I, [2014-01-25T12:05:19.124585 #4310]  INFO -- : guest42 has 1000 chips
I, [2014-01-25T12:05:19.124944 #4310]  INFO -- : Jim Java has 980 chips
I, [2014-01-25T12:05:19.125113 #4310]  INFO -- : Korda György has 1020 chips
I, [2014-01-25T12:05:24.211365 #4310]  INFO -- : Korda György got hole card King of Clubs (13, Clubs)
I, [2014-01-25T12:05:24.318040 #4310]  INFO -- : guest42 got hole card 6 of Clubs (6, Clubs)
I, [2014-01-25T12:05:24.701956 #4310]  INFO -- : Jim Java got hole card Queen of Spades (12, Spades)
I, [2014-01-25T12:05:39.126928 #4310]  INFO -- : Korda György got hole card 7 of Clubs (7, Clubs)
I, [2014-01-25T12:05:40.087290 #4310]  INFO -- : guest42 got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T12:05:40.191402 #4310]  INFO -- : Jim Java got hole card King of Hearts (13, Hearts)
I, [2014-01-25T12:05:45.292812 #4310]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1010 chips. The pot now contains 10 chips.
I, [2014-01-25T12:05:50.399882 #4310]  INFO -- : guest42 made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T12:05:55.590316 #4310]  INFO -- : Jim Java made a bet of 20 (call) and is left with 960 chips. The pot now contains 50 chips.
I, [2014-01-25T12:06:05.762942 #4310]  INFO -- : Korda György made a bet of 10 (call) and is left with 1000 chips. The pot now contains 60 chips.
I, [2014-01-25T12:06:10.886548 #4310]  INFO -- : guest42 made a bet of 0 (check) and is left with 980 chips. The pot now contains 60 chips.
I, [2014-01-25T12:06:16.026609 #4310]  INFO -- : community card Jack of Clubs
I, [2014-01-25T12:06:21.139860 #4310]  INFO -- : community card Ace of Hearts
I, [2014-01-25T12:06:26.244917 #4310]  INFO -- : community card King of Diamonds
I, [2014-01-25T12:06:36.728203 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 1000 chips. The pot now contains 60 chips.
I, [2014-01-25T12:06:52.119950 #4310]  INFO -- : guest42 made a bet of 0 (check) and is left with 980 chips. The pot now contains 60 chips.
I, [2014-01-25T12:06:57.757043 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 940 chips. The pot now contains 80 chips.
I, [2014-01-25T12:07:07.955698 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 980 chips. The pot now contains 100 chips.
I, [2014-01-25T12:07:13.128353 #4310]  INFO -- : guest42 made a bet of 0 (fold) and is left with 980 chips. The pot now contains 100 chips.
I, [2014-01-25T12:07:18.228033 #4310]  INFO -- : community card Queen of Hearts
I, [2014-01-25T12:07:28.433198 #4310]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 100 chips.
I, [2014-01-25T12:07:33.560933 #4310]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 920 chips. The pot now contains 120 chips.
I, [2014-01-25T12:07:44.432165 #4310]  INFO -- : Korda György made a bet of 20 (call) and is left with 960 chips. The pot now contains 140 chips.
I, [2014-01-25T12:07:50.568904 #4310]  INFO -- : community card 3 of Spades
