# Logfile created on 2014-01-25 13:59:12 +0100 by logger.rb/44203
I, [2014-01-25T13:59:12.387582 #7344]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T13:59:12.419822 #7344]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T13:59:12.549600 #7344]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T13:59:12.549966 #7344]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T13:59:12.586267 #7344]  INFO -- : Korda György got hole card 2 of Diamonds (2, Diamonds)
I, [2014-01-25T13:59:12.610754 #7344]  INFO -- : Jim Java got hole card 4 of Diamonds (4, Diamonds)
I, [2014-01-25T13:59:12.646974 #7344]  INFO -- : Korda György got hole card 8 of Hearts (8, Hearts)
I, [2014-01-25T13:59:12.650337 #7344]  INFO -- : Jim Java got hole card 4 of Hearts (4, Hearts)
I, [2014-01-25T13:59:12.692364 #7344]  INFO -- : Korda György made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T13:59:12.721617 #7344]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T13:59:12.784633 #7344]  INFO -- : Korda György made a bet of 10 (call) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T13:59:12.833661 #7344]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 970 chips. The pot now contains 50 chips.
I, [2014-01-25T13:59:12.893863 #7344]  INFO -- : Korda György made a bet of 10 (call) and is left with 970 chips. The pot now contains 60 chips.
I, [2014-01-25T13:59:12.937408 #7344]  INFO -- : community card 2 of Hearts
I, [2014-01-25T13:59:12.970206 #7344]  INFO -- : community card Ace of Diamonds
I, [2014-01-25T13:59:12.998153 #7344]  INFO -- : community card 7 of Hearts
I, [2014-01-25T13:59:13.066568 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 970 chips. The pot now contains 60 chips.
I, [2014-01-25T13:59:13.102651 #7344]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 950 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:13.171845 #7344]  INFO -- : Korda György made a bet of 20 (call) and is left with 950 chips. The pot now contains 100 chips.
I, [2014-01-25T13:59:13.199442 #7344]  INFO -- : community card 3 of Diamonds
I, [2014-01-25T13:59:13.273512 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 100 chips.
I, [2014-01-25T13:59:13.298849 #7344]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 930 chips. The pot now contains 120 chips.
I, [2014-01-25T13:59:13.358405 #7344]  INFO -- : Korda György made a bet of 20 (call) and is left with 930 chips. The pot now contains 140 chips.
I, [2014-01-25T13:59:13.391310 #7344]  INFO -- : community card 7 of Diamonds
I, [2014-01-25T13:59:13.453421 #7344]  INFO -- : Korda György made a bet of 21 (raise) and is left with 909 chips. The pot now contains 161 chips.
I, [2014-01-25T13:59:13.489365 #7344]  INFO -- : Jim Java made a bet of 42 (raise) and is left with 888 chips. The pot now contains 203 chips.
I, [2014-01-25T13:59:13.560141 #7344]  INFO -- : Korda György made a bet of 21 (call) and is left with 888 chips. The pot now contains 224 chips.
I, [2014-01-25T13:59:13.607637 #7344]  INFO -- : Jim Java showed 2 of Hearts,3 of Diamonds,4 of Diamonds,4 of Hearts,7 of Hearts,7 of Diamonds,Ace of Diamonds making a straight
I, [2014-01-25T13:59:13.652330 #7344]  INFO -- : Jim Java won 224
I, [2014-01-25T13:59:13.711748 #7344]  INFO -- : Jim Java has 1112 chips
I, [2014-01-25T13:59:13.712084 #7344]  INFO -- : Korda György has 888 chips
I, [2014-01-25T13:59:13.713647 #7344]  INFO -- : Jim Java got hole card 8 of Clubs (8, Clubs)
I, [2014-01-25T13:59:13.747947 #7344]  INFO -- : Korda György got hole card Jack of Spades (11, Spades)
I, [2014-01-25T13:59:13.749653 #7344]  INFO -- : Jim Java got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T13:59:13.776654 #7344]  INFO -- : Korda György got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T13:59:13.812978 #7344]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 1102 chips. The pot now contains 10 chips.
I, [2014-01-25T13:59:13.846274 #7344]  INFO -- : Korda György made a bet of 20 (raise) and is left with 868 chips. The pot now contains 30 chips.
I, [2014-01-25T13:59:13.878899 #7344]  INFO -- : Jim Java made a bet of 10 (call) and is left with 1092 chips. The pot now contains 40 chips.
I, [2014-01-25T13:59:13.938973 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 868 chips. The pot now contains 40 chips.
I, [2014-01-25T13:59:13.971163 #7344]  INFO -- : community card Jack of Diamonds
I, [2014-01-25T13:59:13.998556 #7344]  INFO -- : community card 5 of Diamonds
I, [2014-01-25T13:59:14.028022 #7344]  INFO -- : community card 10 of Spades
I, [2014-01-25T13:59:14.061293 #7344]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1092 chips. The pot now contains 40 chips.
I, [2014-01-25T13:59:14.124792 #7344]  INFO -- : Korda György made a bet of 30 (raise) and is left with 838 chips. The pot now contains 70 chips.
I, [2014-01-25T13:59:14.160358 #7344]  INFO -- : Jim Java made a bet of 30 (call) and is left with 1062 chips. The pot now contains 100 chips.
I, [2014-01-25T13:59:14.189627 #7344]  INFO -- : community card Queen of Hearts
I, [2014-01-25T13:59:14.218601 #7344]  INFO -- : Jim Java made a bet of 0 (check) and is left with 1062 chips. The pot now contains 100 chips.
I, [2014-01-25T13:59:14.281335 #7344]  INFO -- : Korda György made a bet of 29 (raise) and is left with 809 chips. The pot now contains 129 chips.
I, [2014-01-25T13:59:14.307200 #7344]  INFO -- : Jim Java made a bet of 29 (call) and is left with 1033 chips. The pot now contains 158 chips.
I, [2014-01-25T13:59:14.336687 #7344]  INFO -- : community card Jack of Hearts
I, [2014-01-25T13:59:14.366831 #7344]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 1013 chips. The pot now contains 178 chips.
I, [2014-01-25T13:59:14.428076 #7344]  INFO -- : Korda György made a bet of 20 (call) and is left with 789 chips. The pot now contains 198 chips.
I, [2014-01-25T13:59:14.461944 #7344]  INFO -- : Jim Java showed 5 of Diamonds,8 of Clubs,10 of Spades,Jack of Diamonds,Jack of Hearts,Queen of Hearts,Ace of Clubs making a pair
I, [2014-01-25T13:59:14.492953 #7344]  INFO -- : Korda György showed 5 of Diamonds,10 of Spades,Jack of Spades,Jack of Diamonds,Jack of Hearts,Queen of Clubs,Queen of Hearts making a full house
I, [2014-01-25T13:59:14.521121 #7344]  INFO -- : Korda György won 198
I, [2014-01-25T13:59:14.581327 #7344]  INFO -- : Jim Java has 1013 chips
I, [2014-01-25T13:59:14.581668 #7344]  INFO -- : Korda György has 987 chips
I, [2014-01-25T13:59:14.615718 #7344]  INFO -- : Korda György got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T13:59:14.617458 #7344]  INFO -- : Jim Java got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T13:59:14.651737 #7344]  INFO -- : Korda György got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T13:59:14.652742 #7344]  INFO -- : Jim Java got hole card 3 of Hearts (3, Hearts)
I, [2014-01-25T13:59:14.687744 #7344]  INFO -- : Korda György made a bet of 20 (raise) and is left with 967 chips. The pot now contains 20 chips.
I, [2014-01-25T13:59:14.721797 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 973 chips. The pot now contains 60 chips.
I, [2014-01-25T13:59:14.787322 #7344]  INFO -- : Korda György made a bet of 20 (call) and is left with 947 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:14.822151 #7344]  INFO -- : Jim Java made a bet of 0 (check) and is left with 973 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:14.855654 #7344]  INFO -- : community card Jack of Diamonds
I, [2014-01-25T13:59:14.891012 #7344]  INFO -- : community card Jack of Spades
I, [2014-01-25T13:59:14.919229 #7344]  INFO -- : community card Ace of Spades
I, [2014-01-25T13:59:14.985288 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 947 chips. The pot now contains 80 chips.
I, [2014-01-25T13:59:15.011037 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 933 chips. The pot now contains 120 chips.
I, [2014-01-25T13:59:15.071978 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 907 chips. The pot now contains 160 chips.
I, [2014-01-25T13:59:15.102125 #7344]  INFO -- : community card Ace of Clubs
I, [2014-01-25T13:59:15.161619 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 907 chips. The pot now contains 160 chips.
I, [2014-01-25T13:59:15.198026 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 893 chips. The pot now contains 200 chips.
I, [2014-01-25T13:59:15.270676 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 867 chips. The pot now contains 240 chips.
I, [2014-01-25T13:59:15.305591 #7344]  INFO -- : community card 10 of Spades
I, [2014-01-25T13:59:15.371660 #7344]  INFO -- : Korda György made a bet of 0 (check) and is left with 867 chips. The pot now contains 240 chips.
I, [2014-01-25T13:59:15.409050 #7344]  INFO -- : Jim Java made a bet of 40 (raise) and is left with 853 chips. The pot now contains 280 chips.
I, [2014-01-25T13:59:15.467191 #7344]  INFO -- : Korda György made a bet of 40 (call) and is left with 827 chips. The pot now contains 320 chips.
I, [2014-01-25T13:59:15.493573 #7344]  INFO -- : Jim Java showed 3 of Hearts,8 of Diamonds,10 of Spades,Jack of Diamonds,Jack of Spades,Ace of Spades,Ace of Clubs making a two pairs
I, [2014-01-25T13:59:15.524329 #7344]  INFO -- : Korda György showed 5 of Hearts,6 of Diamonds,10 of Spades,Jack of Diamonds,Jack of Spades,Ace of Spades,Ace of Clubs making a two pairs
I, [2014-01-25T13:59:15.554443 #7344]  INFO -- : Jim Java won 160
I, [2014-01-25T13:59:15.586173 #7344]  INFO -- : Korda György won 160
I, [2014-01-25T13:59:15.639043 #7344]  INFO -- : Jim Java has 1013 chips
I, [2014-01-25T13:59:15.639347 #7344]  INFO -- : Korda György has 987 chips
I, [2014-01-25T13:59:15.640719 #7344]  INFO -- : Jim Java got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T13:59:15.683259 #7344]  INFO -- : Korda György got hole card 6 of Spades (6, Spades)
