# Logfile created on 2014-01-25 16:41:09 +0100 by logger.rb/44203
I, [2014-01-25T16:41:09.145891 #12199]  INFO -- : Connected devill at localhost:4242
I, [2014-01-25T16:41:09.147864 #12199]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T16:41:09.224550 #12199]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T16:41:09.360155 #12199]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:41:09.360264 #12199]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T16:41:09.360315 #12199]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T16:41:09.361677 #12199]  INFO -- : Jim Java got hole card 2 of Hearts (2, Hearts)
I, [2014-01-25T16:41:09.396390 #12199]  INFO -- : Korda György got hole card 8 of Diamonds (8, Diamonds)
I, [2014-01-25T16:41:09.397121 #12199]  INFO -- : devill got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T16:41:09.397961 #12199]  INFO -- : Jim Java got hole card Jack of Hearts (11, Hearts)
I, [2014-01-25T16:41:09.437434 #12199]  INFO -- : Korda György got hole card 10 of Diamonds (10, Diamonds)
I, [2014-01-25T16:41:09.438395 #12199]  INFO -- : devill got hole card 6 of Diamonds (6, Diamonds)
I, [2014-01-25T16:41:09.474918 #12199]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T16:41:09.506000 #12199]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:41:09.537268 #12199]  INFO -- : devill made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T16:41:09.568117 #12199]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:41:09.634800 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:41:09.664099 #12199]  INFO -- : Korda György won 30
I, [2014-01-25T16:41:09.756679 #12199]  INFO -- : devill has 1000 chips
I, [2014-01-25T16:41:09.756980 #12199]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:41:09.757145 #12199]  INFO -- : Korda György has 1010 chips
I, [2014-01-25T16:41:09.781567 #12199]  INFO -- : Korda György got hole card 7 of Diamonds (7, Diamonds)
I, [2014-01-25T16:41:09.782910 #12199]  INFO -- : devill got hole card King of Clubs (13, Clubs)
I, [2014-01-25T16:41:09.784307 #12199]  INFO -- : Jim Java got hole card 7 of Clubs (7, Clubs)
I, [2014-01-25T16:41:09.814366 #12199]  INFO -- : Korda György got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T16:41:09.814866 #12199]  INFO -- : devill got hole card Queen of Hearts (12, Hearts)
I, [2014-01-25T16:41:09.817166 #12199]  INFO -- : Jim Java got hole card 5 of Spades (5, Spades)
I, [2014-01-25T16:41:09.853762 #12199]  INFO -- : Korda György made a bet of 10 (raise) and is left with 1000 chips. The pot now contains 10 chips.
I, [2014-01-25T16:41:09.889908 #12199]  INFO -- : devill made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T16:41:09.927050 #12199]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 990 chips. The pot now contains 30 chips.
I, [2014-01-25T16:41:09.993833 #12199]  INFO -- : Korda György made a bet of 10 (call) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:41:10.030586 #12199]  INFO -- : devill made a bet of 0 (check) and is left with 980 chips. The pot now contains 40 chips.
I, [2014-01-25T16:41:10.061138 #12199]  INFO -- : community card 8 of Spades
I, [2014-01-25T16:41:10.092285 #12199]  INFO -- : community card 10 of Hearts
I, [2014-01-25T16:41:10.120751 #12199]  INFO -- : community card 10 of Diamonds
I, [2014-01-25T16:41:10.202498 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 990 chips. The pot now contains 40 chips.
I, [2014-01-25T16:41:10.241412 #12199]  INFO -- : devill made a bet of 20 (raise) and is left with 960 chips. The pot now contains 60 chips.
I, [2014-01-25T16:41:10.330464 #12199]  INFO -- : Korda György made a bet of 20 (call) and is left with 970 chips. The pot now contains 80 chips.
I, [2014-01-25T16:41:10.360424 #12199]  INFO -- : community card Jack of Spades
I, [2014-01-25T16:41:10.449451 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 970 chips. The pot now contains 80 chips.
I, [2014-01-25T16:41:10.487396 #12199]  INFO -- : devill made a bet of 20 (raise) and is left with 940 chips. The pot now contains 100 chips.
I, [2014-01-25T16:41:10.573816 #12199]  INFO -- : Korda György made a bet of 20 (call) and is left with 950 chips. The pot now contains 120 chips.
I, [2014-01-25T16:41:10.610950 #12199]  INFO -- : community card 8 of Clubs
I, [2014-01-25T16:41:10.694052 #12199]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 120 chips.
I, [2014-01-25T16:41:10.730828 #12199]  INFO -- : devill made a bet of 20 (raise) and is left with 920 chips. The pot now contains 140 chips.
I, [2014-01-25T16:41:10.808249 #12199]  INFO -- : Korda György made a bet of 0 (fold) and is left with 950 chips. The pot now contains 140 chips.
I, [2014-01-25T16:41:10.851074 #12199]  INFO -- : devill won 140
I, [2014-01-25T16:41:10.951969 #12199]  INFO -- : devill has 1060 chips
I, [2014-01-25T16:41:10.952264 #12199]  INFO -- : Jim Java has 990 chips
I, [2014-01-25T16:41:10.952435 #12199]  INFO -- : Korda György has 950 chips
I, [2014-01-25T16:41:10.953435 #12199]  INFO -- : devill got hole card 5 of Diamonds (5, Diamonds)
I, [2014-01-25T16:41:10.954463 #12199]  INFO -- : Jim Java got hole card Jack of Clubs (11, Clubs)
I, [2014-01-25T16:41:10.988651 #12199]  INFO -- : Korda György got hole card 3 of Spades (3, Spades)
I, [2014-01-25T16:41:10.990298 #12199]  INFO -- : devill got hole card 4 of Diamonds (4, Diamonds)
I, [2014-01-25T16:41:10.991561 #12199]  INFO -- : Jim Java got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T16:41:11.020676 #12199]  INFO -- : Korda György got hole card Ace of Diamonds (14, Diamonds)
I, [2014-01-25T16:41:11.056819 #12199]  INFO -- : devill made a bet of 10 (raise) and is left with 1050 chips. The pot now contains 10 chips.
I, [2014-01-25T16:41:11.090207 #12199]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 970 chips. The pot now contains 30 chips.
I, [2014-01-25T16:41:11.154962 #12199]  INFO -- : Korda György made a bet of 20 (call) and is left with 930 chips. The pot now contains 50 chips.
I, [2014-01-25T16:41:11.188101 #12199]  INFO -- : devill made a bet of 10 (call) and is left with 1040 chips. The pot now contains 60 chips.
I, [2014-01-25T16:41:11.223908 #12199]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 960 chips. The pot now contains 70 chips.
I, [2014-01-25T16:41:11.290446 #12199]  INFO -- : Korda György made a bet of 10 (call) and is left with 920 chips. The pot now contains 80 chips.
I, [2014-01-25T16:41:11.324868 #12199]  INFO -- : devill made a bet of 10 (call) and is left with 1030 chips. The pot now contains 90 chips.
I, [2014-01-25T16:41:11.354567 #12199]  INFO -- : community card 5 of Hearts
I, [2014-01-25T16:41:11.389132 #12199]  INFO -- : community card Queen of Spades
I, [2014-01-25T16:41:11.425193 #12199]  INFO -- : community card 6 of Spades
I, [2014-01-25T16:41:11.460531 #12199]  INFO -- : devill made a bet of 20 (raise) and is left with 1010 chips. The pot now contains 110 chips.
I, [2014-01-25T16:41:11.498027 #12199]  INFO -- : Jim Java made a bet of 0 (fold) and is left with 960 chips. The pot now contains 110 chips.
I, [2014-01-25T16:41:11.567236 #12199]  INFO -- : Korda György made a bet of 20 (call) and is left with 900 chips. The pot now contains 130 chips.
I, [2014-01-25T16:41:11.595215 #12199]  INFO -- : community card 5 of Spades
I, [2014-01-25T16:41:11.625805 #12199]  INFO -- : devill made a bet of 20 (raise) and is left with 990 chips. The pot now contains 150 chips.
I, [2014-01-25T16:41:11.699686 #12199]  INFO -- : Korda György made a bet of 20 (call) and is left with 880 chips. The pot now contains 170 chips.
I, [2014-01-25T16:41:11.733561 #12199]  INFO -- : community card 8 of Spades
I, [2014-01-25T16:41:11.765788 #12199]  INFO -- : devill made a bet of 20 (raise) and is left with 970 chips. The pot now contains 190 chips.
I, [2014-01-25T16:41:11.839795 #12199]  INFO -- : Korda György made a bet of 60 (raise) and is left with 820 chips. The pot now contains 250 chips.
I, [2014-01-25T16:41:11.879037 #12199]  INFO -- : devill made a bet of 40 (call) and is left with 930 chips. The pot now contains 290 chips.
I, [2014-01-25T16:41:11.919107 #12199]  INFO -- : Korda György showed 3 of Spades,5 of Spades,5 of Hearts,6 of Spades,8 of Spades,Queen of Spades,Ace of Diamonds making a flush
I, [2014-01-25T16:41:11.955419 #12199]  INFO -- : Korda György won 290
