# Logfile created on 2014-01-25 17:54:55 +0100 by logger.rb/44203
I, [2014-01-25T17:54:55.946432 #13576]  INFO -- : Connected devill_4242 at localhost:4242
I, [2014-01-25T17:54:55.969992 #13576]  INFO -- : Connected Jim Java at localhost:9900
I, [2014-01-25T17:54:56.054605 #13576]  INFO -- : Connected Korda György at http://localhost:8080/php/player_service.php
I, [2014-01-25T17:54:56.238951 #13576]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:54:56.239291 #13576]  INFO -- : Jim Java has 1000 chips
I, [2014-01-25T17:54:56.239500 #13576]  INFO -- : Korda György has 1000 chips
I, [2014-01-25T17:54:56.248417 #13576]  INFO -- : Jim Java got hole card Jack of Clubs (11, Clubs)
I, [2014-01-25T17:54:56.280468 #13576]  INFO -- : Korda György got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T17:54:56.281188 #13576]  INFO -- : devill_4242 got hole card 8 of Spades (8, Spades)
I, [2014-01-25T17:54:56.282098 #13576]  INFO -- : Jim Java got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T17:54:56.311644 #13576]  INFO -- : Korda György got hole card King of Spades (13, Spades)
I, [2014-01-25T17:54:56.312435 #13576]  INFO -- : devill_4242 got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T17:54:56.362961 #13576]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 990 chips. The pot now contains 10 chips.
I, [2014-01-25T17:54:56.400974 #13576]  INFO -- : Korda György made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:56.429554 #13576]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 1000 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:56.475100 #13576]  INFO -- : Jim Java made a bet of 30 (raise) and is left with 960 chips. The pot now contains 60 chips.
I, [2014-01-25T17:54:56.550962 #13576]  INFO -- : Korda György made a bet of 0 (fold) and is left with 980 chips. The pot now contains 60 chips.
I, [2014-01-25T17:54:56.593707 #13576]  INFO -- : Jim Java won 60
I, [2014-01-25T17:54:56.676907 #13576]  INFO -- : devill_4242 has 1000 chips
I, [2014-01-25T17:54:56.677020 #13576]  INFO -- : Jim Java has 1020 chips
I, [2014-01-25T17:54:56.677072 #13576]  INFO -- : Korda György has 980 chips
I, [2014-01-25T17:54:56.710605 #13576]  INFO -- : Korda György got hole card 5 of Hearts (5, Hearts)
I, [2014-01-25T17:54:56.711753 #13576]  INFO -- : devill_4242 got hole card 9 of Clubs (9, Clubs)
I, [2014-01-25T17:54:56.713132 #13576]  INFO -- : Jim Java got hole card Ace of Clubs (14, Clubs)
I, [2014-01-25T17:54:56.744803 #13576]  INFO -- : Korda György got hole card 2 of Spades (2, Spades)
I, [2014-01-25T17:54:56.746051 #13576]  INFO -- : devill_4242 got hole card Queen of Clubs (12, Clubs)
I, [2014-01-25T17:54:56.747171 #13576]  INFO -- : Jim Java got hole card 4 of Spades (4, Spades)
I, [2014-01-25T17:54:56.784853 #13576]  INFO -- : Korda György made a bet of 10 (raise) and is left with 970 chips. The pot now contains 10 chips.
I, [2014-01-25T17:54:56.816913 #13576]  INFO -- : devill_4242 made a bet of 20 (raise) and is left with 980 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:56.854034 #13576]  INFO -- : Jim Java made a bet of 20 (call) and is left with 1000 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:56.928703 #13576]  INFO -- : Korda György made a bet of 0 (fold) and is left with 970 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:56.967144 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:57.002241 #13576]  INFO -- : community card 10 of Spades
I, [2014-01-25T17:54:57.034727 #13576]  INFO -- : community card 4 of Hearts
I, [2014-01-25T17:54:57.069457 #13576]  INFO -- : community card 10 of Clubs
I, [2014-01-25T17:54:57.103653 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 980 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:57.133694 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 980 chips. The pot now contains 70 chips.
I, [2014-01-25T17:54:57.168421 #13576]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 960 chips. The pot now contains 90 chips.
I, [2014-01-25T17:54:57.198233 #13576]  INFO -- : community card Queen of Spades
I, [2014-01-25T17:54:57.226175 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 960 chips. The pot now contains 90 chips.
I, [2014-01-25T17:54:57.262648 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 960 chips. The pot now contains 110 chips.
I, [2014-01-25T17:54:57.294425 #13576]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 940 chips. The pot now contains 130 chips.
I, [2014-01-25T17:54:57.325413 #13576]  INFO -- : community card Jack of Clubs
I, [2014-01-25T17:54:57.362324 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 940 chips. The pot now contains 130 chips.
I, [2014-01-25T17:54:57.399457 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 940 chips. The pot now contains 150 chips.
I, [2014-01-25T17:54:57.431942 #13576]  INFO -- : devill_4242 made a bet of 20 (call) and is left with 920 chips. The pot now contains 170 chips.
I, [2014-01-25T17:54:57.491396 #13576]  INFO -- : Jim Java showed 4 of Hearts,4 of Spades,10 of Spades,10 of Clubs,Jack of Clubs,Queen of Spades,Ace of Clubs making a two pairs
I, [2014-01-25T17:54:57.529796 #13576]  INFO -- : devill_4242 showed 4 of Hearts,9 of Clubs,10 of Spades,10 of Clubs,Jack of Clubs,Queen of Spades,Queen of Clubs making a two pairs
I, [2014-01-25T17:54:57.563707 #13576]  INFO -- : devill_4242 won 170
I, [2014-01-25T17:54:57.658004 #13576]  INFO -- : devill_4242 has 1090 chips
I, [2014-01-25T17:54:57.658209 #13576]  INFO -- : Jim Java has 940 chips
I, [2014-01-25T17:54:57.658343 #13576]  INFO -- : Korda György has 970 chips
I, [2014-01-25T17:54:57.659120 #13576]  INFO -- : devill_4242 got hole card 6 of Spades (6, Spades)
I, [2014-01-25T17:54:57.659899 #13576]  INFO -- : Jim Java got hole card 9 of Spades (9, Spades)
I, [2014-01-25T17:54:57.684239 #13576]  INFO -- : Korda György got hole card Ace of Diamonds (14, Diamonds)
I, [2014-01-25T17:54:57.685400 #13576]  INFO -- : devill_4242 got hole card 10 of Clubs (10, Clubs)
I, [2014-01-25T17:54:57.686752 #13576]  INFO -- : Jim Java got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T17:54:57.717218 #13576]  INFO -- : Korda György got hole card 9 of Hearts (9, Hearts)
I, [2014-01-25T17:54:57.758349 #13576]  INFO -- : devill_4242 made a bet of 10 (raise) and is left with 1080 chips. The pot now contains 10 chips.
I, [2014-01-25T17:54:57.794984 #13576]  INFO -- : Jim Java made a bet of 20 (raise) and is left with 920 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:57.864151 #13576]  INFO -- : Korda György made a bet of 0 (fold) and is left with 970 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:57.900295 #13576]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 1080 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:57.938252 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 920 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:57.971027 #13576]  INFO -- : Jim Java won 30
I, [2014-01-25T17:54:58.069837 #13576]  INFO -- : devill_4242 has 1080 chips
I, [2014-01-25T17:54:58.070186 #13576]  INFO -- : Jim Java has 950 chips
I, [2014-01-25T17:54:58.070452 #13576]  INFO -- : Korda György has 970 chips
I, [2014-01-25T17:54:58.071533 #13576]  INFO -- : Jim Java got hole card Jack of Diamonds (11, Diamonds)
I, [2014-01-25T17:54:58.102340 #13576]  INFO -- : Korda György got hole card Jack of Clubs (11, Clubs)
I, [2014-01-25T17:54:58.104298 #13576]  INFO -- : devill_4242 got hole card Ace of Hearts (14, Hearts)
I, [2014-01-25T17:54:58.105258 #13576]  INFO -- : Jim Java got hole card 3 of Hearts (3, Hearts)
I, [2014-01-25T17:54:58.136738 #13576]  INFO -- : Korda György got hole card 5 of Diamonds (5, Diamonds)
I, [2014-01-25T17:54:58.137268 #13576]  INFO -- : devill_4242 got hole card 7 of Diamonds (7, Diamonds)
I, [2014-01-25T17:54:58.170633 #13576]  INFO -- : Jim Java made a bet of 10 (raise) and is left with 940 chips. The pot now contains 10 chips.
I, [2014-01-25T17:54:58.202617 #13576]  INFO -- : Korda György made a bet of 20 (raise) and is left with 950 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:58.231666 #13576]  INFO -- : devill_4242 made a bet of 0 (fold) and is left with 1080 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:58.266819 #13576]  INFO -- : Jim Java made a bet of 10 (call) and is left with 930 chips. The pot now contains 40 chips.
I, [2014-01-25T17:54:58.332245 #13576]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 40 chips.
I, [2014-01-25T17:54:58.358901 #13576]  INFO -- : community card 10 of Hearts
I, [2014-01-25T17:54:58.388198 #13576]  INFO -- : community card 2 of Spades
I, [2014-01-25T17:54:58.419782 #13576]  INFO -- : community card 3 of Diamonds
I, [2014-01-25T17:54:58.450362 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 930 chips. The pot now contains 40 chips.
I, [2014-01-25T17:54:58.523498 #13576]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 40 chips.
I, [2014-01-25T17:54:58.561431 #13576]  INFO -- : community card 9 of Clubs
I, [2014-01-25T17:54:58.594748 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 930 chips. The pot now contains 40 chips.
I, [2014-01-25T17:54:58.682719 #13576]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 40 chips.
I, [2014-01-25T17:54:58.722365 #13576]  INFO -- : community card 7 of Clubs
I, [2014-01-25T17:54:58.761863 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 930 chips. The pot now contains 40 chips.
I, [2014-01-25T17:54:58.838491 #13576]  INFO -- : Korda György made a bet of 0 (check) and is left with 950 chips. The pot now contains 40 chips.
I, [2014-01-25T17:54:58.869236 #13576]  INFO -- : Jim Java showed 2 of Spades,3 of Hearts,3 of Diamonds,7 of Clubs,9 of Clubs,10 of Hearts,Jack of Diamonds making a pair
I, [2014-01-25T17:54:58.900440 #13576]  INFO -- : Jim Java won 40
I, [2014-01-25T17:54:58.995436 #13576]  INFO -- : devill_4242 has 1080 chips
I, [2014-01-25T17:54:58.995832 #13576]  INFO -- : Jim Java has 970 chips
I, [2014-01-25T17:54:58.996032 #13576]  INFO -- : Korda György has 950 chips
I, [2014-01-25T17:54:59.026071 #13576]  INFO -- : Korda György got hole card 7 of Hearts (7, Hearts)
I, [2014-01-25T17:54:59.027370 #13576]  INFO -- : devill_4242 got hole card Jack of Clubs (11, Clubs)
I, [2014-01-25T17:54:59.029306 #13576]  INFO -- : Jim Java got hole card 2 of Diamonds (2, Diamonds)
I, [2014-01-25T17:54:59.068138 #13576]  INFO -- : Korda György got hole card 5 of Diamonds (5, Diamonds)
I, [2014-01-25T17:54:59.069054 #13576]  INFO -- : devill_4242 got hole card 10 of Diamonds (10, Diamonds)
I, [2014-01-25T17:54:59.070089 #13576]  INFO -- : Jim Java got hole card 5 of Clubs (5, Clubs)
I, [2014-01-25T17:54:59.110559 #13576]  INFO -- : Korda György made a bet of 10 (raise) and is left with 940 chips. The pot now contains 10 chips.
I, [2014-01-25T17:54:59.139804 #13576]  INFO -- : devill_4242 made a bet of 20 (raise) and is left with 1060 chips. The pot now contains 30 chips.
I, [2014-01-25T17:54:59.173706 #13576]  INFO -- : Jim Java made a bet of 20 (call) and is left with 950 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.232826 #13576]  INFO -- : Korda György made a bet of 0 (fold) and is left with 940 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.267486 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1060 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.299831 #13576]  INFO -- : community card 5 of Hearts
I, [2014-01-25T17:54:59.337766 #13576]  INFO -- : community card 3 of Spades
I, [2014-01-25T17:54:59.371255 #13576]  INFO -- : community card 8 of Spades
I, [2014-01-25T17:54:59.403019 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1060 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.429281 #13576]  INFO -- : Jim Java made a bet of 0 (check) and is left with 950 chips. The pot now contains 50 chips.
I, [2014-01-25T17:54:59.461088 #13576]  INFO -- : community card Queen of Spades
I, [2014-01-25T17:54:59.494641 #13576]  INFO -- : devill_4242 made a bet of 0 (check) and is left with 1060 chips. The pot now contains 50 chips.
